timestamp,mem_allocated,mem_used,cpu_allocated,cpu_used,nw_bandwidth,storage_used
2019,16384,14620,4,0.24,0.00,300
2019,16384,15285,4,0.64,0.00,300
2019,16384,15310,4,0.04,0.00,300
2019,16384,15310,4,0.01,0.00,300
2019,16384,15309,4,0.01,0.00,300
2019,16384,15310,4,0.01,0.00,300
2019,16384,15310,4,0.01,0.00,300
2019,16384,15310,4,0.01,0.00,300
2019,16384,15310,4,0.02,0.00,300
2019,16384,15309,4,0.01,0.00,300
2019,16384,15309,4,0.01,0.00,300
2019,16384,14818,4,0.02,0.00,300
2019,16384,15217,4,1.05,0.00,300
2019,16384,15273,4,0.86,0.00,300
2019,16384,16383,4,0.93,0.00,300
2019,16384,16383,4,0.67,0.00,300
2019,16384,16383,4,0.55,0.00,300
2019,16384,16383,4,0.61,0.00,300
2019,16384,16383,4,0.68,0.00,300
2019,16384,16383,4,0.03,0.00,300
2019,16384,14620,4,0.24,0.00,300
2019,16384,15285,4,0.64,0.00,300
2019,16384,15310,4,0.04,0.00,300
2019,16384,15310,4,0.01,0.00,300
2019,16384,15309,4,0.01,0.00,300
2019,16384,15310,4,0.01,0.00,300
2019,16384,15310,4,0.01,0.00,300
2019,16384,15310,4,0.01,0.00,300
2019,16384,15310,4,0.02,0.00,300
2019,16384,15309,4,0.01,0.00,300
2019,16384,15309,4,0.01,0.00,300
2019,16384,14818,4,0.02,0.00,300
2019,16384,15217,4,1.05,0.00,300
2019,16384,15273,4,0.86,0.00,300
2019,16384,16383,4,0.93,0.00,300
2019,16384,16383,4,0.67,0.00,300
2019,16384,16383,4,0.55,0.00,300
2019,16384,16383,4,0.61,0.00,300
2019,16384,16383,4,0.68,0.00,300
2019,16384,16383,4,0.03,0.00,300
2019,16384,14620,4,0.24,0.00,300
2019,16384,15285,4,0.64,0.00,300
2019,16384,15310,4,0.04,0.00,300
2019,16384,15310,4,0.01,0.00,300
2019,16384,15309,4,0.01,0.00,300
2019,16384,15310,4,0.01,0.00,300
2019,16384,15310,4,0.01,0.00,300
2019,16384,15310,4,0.01,0.00,300
2019,16384,15310,4,0.02,0.00,300
2019,16384,15309,4,0.01,0.00,300
2019,16384,15309,4,0.01,0.00,300
2019,16384,14818,4,0.02,0.00,300
2019,16384,15217,4,1.05,0.00,300
2019,16384,15273,4,0.86,0.00,300
2019,16384,16383,4,0.93,0.00,300
2019,16384,16383,4,0.67,0.00,300
2019,16384,16383,4,0.55,0.00,300
2019,16384,16383,4,0.61,0.00,300
2019,16384,16383,4,0.68,0.00,300
2019,16384,16383,4,0.03,0.00,300
2019,16384,14620,4,0.24,0.00,300
2019,16384,15285,4,0.64,0.00,300
2019,16384,15310,4,0.04,0.00,300
2019,16384,15310,4,0.01,0.00,300
2019,16384,15309,4,0.01,0.00,300
2019,16384,15310,4,0.01,0.00,300
2019,16384,15310,4,0.01,0.00,300
2019,16384,15310,4,0.01,0.00,300
2019,16384,15310,4,0.02,0.00,300
2019,16384,15309,4,0.01,0.00,300
2019,16384,15309,4,0.01,0.00,300
2019,16384,14818,4,0.02,0.00,300
2019,16384,15217,4,1.05,0.00,300
2019,16384,15273,4,0.86,0.00,300
2019,16384,16383,4,0.93,0.00,300
2019,16384,16383,4,0.67,0.00,300
2019,16384,16383,4,0.55,0.00,300
2019,16384,16383,4,0.61,0.00,300
2019,16384,16383,4,0.68,0.00,300
2019,16384,16383,4,0.03,0.00,300
2019,16384,14620,4,0.24,0.00,300
2019,16384,15285,4,0.64,0.00,300
2019,16384,15310,4,0.04,0.00,300
2019,16384,15310,4,0.01,0.00,300
2019,16384,15309,4,0.01,0.00,300
2019,16384,15310,4,0.01,0.00,300
2019,16384,15310,4,0.01,0.00,300
2019,16384,15310,4,0.01,0.00,300
2019,16384,15310,4,0.02,0.00,300
2019,16384,15309,4,0.01,0.00,300
2019,16384,15309,4,0.01,0.00,300
2019,16384,14818,4,0.02,0.00,300
2019,16384,15217,4,1.05,0.00,300
2019,16384,15273,4,0.86,0.00,300
2019,16384,16383,4,0.93,0.00,300
2019,16384,16383,4,0.67,0.00,300
2019,16384,16383,4,0.55,0.00,300
2019,16384,16383,4,0.61,0.00,300
2019,16384,16383,4,0.68,0.00,300
2019,16384,16383,4,0.03,0.00,300
2019,16384,14620,4,0.24,0.00,300
2019,16384,15285,4,0.64,0.00,300
2019,16384,15310,4,0.04,0.00,300
2019,16384,15310,4,0.01,0.00,300
2019,16384,15309,4,0.01,0.00,300
2019,16384,15310,4,0.01,0.00,300
2019,16384,15310,4,0.01,0.00,300
2019,16384,15310,4,0.01,0.00,300
2019,16384,15310,4,0.02,0.00,300
2019,16384,15309,4,0.01,0.00,300
2019,16384,15309,4,0.01,0.00,300
2019,16384,14818,4,0.02,0.00,300
2019,16384,15217,4,1.05,0.00,300
2019,16384,15273,4,0.86,0.00,300
2019,16384,16383,4,0.93,0.00,300
2019,16384,16383,4,0.67,0.00,300
2019,16384,16383,4,0.55,0.00,300
2019,16384,16383,4,0.61,0.00,300
2019,16384,16383,4,0.68,0.00,300
2019,16384,16383,4,0.03,0.00,300
